date,value,cash,drawdown,long_exposure,short_exposure,net_exposure,net_exposure_pct,index_exposure,components_exposure,recovery_mode,return,cumulative_return
2021-07-14,2019848.9533809973,2153128.2500333874,0.018632963437997117,0.0,0.0,0.0,0.0,0.0,0.0,True,-0.001712615203686596,1.0198489533809978
2021-07-15,2153128.2500333874,2153128.2500333874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.06598478387668338,1.153128250033388
2021-07-16,2153128.2500333874,2153128.2500333874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,1.153128250033388
2021-07-19,2153128.2500333874,2153128.2500333874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,1.153128250033388
2021-07-20,2153128.2500333874,2153128.2500333874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,1.153128250033388
2021-07-21,2153128.2500333874,2153128.2500333874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,1.153128250033388
2021-07-22,2153128.2500333874,2153128.2500333874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,1.153128250033388
2021-07-23,2153128.2500333874,2153128.2500333874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,1.153128250033388
2021-07-26,2153128.2500333874,2153128.2500333874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,1.153128250033388
2021-07-27,2153128.2500333874,2153128.2500333874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,1.153128250033388
2021-07-28,2153128.2500333874,2153128.2500333874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,1.153128250033388
2021-07-29,2153128.2500333874,2153128.2500333874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,1.153128250033388
2021-07-30,2153128.2500333874,2153128.2500333874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,1.153128250033388
2021-08-02,2153128.2500333874,2301827.4973881505,0.0,128185.32193445673,-138442.28464461,-10256.962710153253,-0.004763749075325264,128185.32193445673,-138442.28464461,False,0.0,1.153128250033388
2021-08-03,2287629.13109937,2294558.9469016553,0.0,71145.42177249768,-92612.33854777407,-21466.91677527639,-0.009383914762861932,71145.42177249768,-92612.33854777407,False,0.062467658888362365,1.2876291310993704
2021-08-04,2268420.1497535356,2314545.4996913546,0.00839689488330782,61999.43001340057,-68151.6743718204,-6152.244358419826,-0.002712127362776366,61999.43001340057,-68151.6743718204,False,-0.00839689488330786,1.2684201497535361
2021-08-05,2313982.278297555,2321333.260503907,0.0,69018.04221381716,-62793.502795063425,6224.539418753731,0.002689968491605413,69018.04221381716,-62793.502795063425,False,0.020085401088052457,1.3139822782975559
2021-08-06,2331998.339872583,2336243.4871002473,0.0,67511.99775436246,-41936.69178934701,25575.305965015446,0.010967120142295146,67511.99775436246,-41936.69178934701,False,0.007785738786332708,1.3319983398725839
2021-08-09,2360581.804008123,2341321.6580667323,0.0,64575.75758154036,-35159.2697071788,29416.487874361563,0.012461541398147766,64575.75758154036,-35159.2697071788,False,0.012257068818111616,1.3605818040081243
2021-08-10,2374452.035729396,2355646.396538323,0.0,65854.24816548005,-18399.132031226793,47455.11613425326,0.01998571266977636,65854.24816548005,-18399.132031226793,False,0.005875768294800077,1.3744520357293974
2021-08-11,2405583.0503998883,2358127.661619653,0.0,67678.62373069956,-15260.704787804132,52417.91894289543,0.021790109858889226,67678.62373069956,-15260.704787804132,False,0.013110820602838302,1.4055830503998896
2021-08-12,2413484.77844327,2358466.9325581896,0.0,70965.28853223482,-15268.900770081551,55696.38776215327,0.023077165540724143,70965.28853223482,-15268.900770081551,False,0.00328474547659785,1.4134847784432711
2021-08-13,2416403.3711133194,2359006.0857294817,0.0,73287.12751549474,-14811.535789073081,58475.591726421655,0.024199433101883133,73287.12751549474,-14811.535789073081,False,0.001209285716702091,1.4164033711133204
2021-08-16,2419435.7172868727,2359371.005641764,0.0,76452.70493253379,-15658.153462861494,60794.5514696723,0.02512757459737207,76452.70493253379,-15658.153462861494,False,0.001254900655165203,1.419435717286874
2021-08-17,2409356.2631993983,2360621.214356488,0.004166035086386741,65584.88048367876,-14349.41421132044,51235.46627235832,0.02126520973877165,65584.88048367876,-14349.41421132044,False,-0.004166035086386688,1.4093562631993994
2021-08-18,2400939.3072110894,2307870.5541768,0.007644927262843306,0.0,-12432.567325086078,-12432.567325086078,-0.005178209748053832,0.0,-12432.567325086078,False,-0.0034934459950443086,1.4009393072110905
2021-08-19,2294116.2065043557,2307870.5541768,0.05179699955948773,0.0,-13754.347672444219,-13754.347672444219,-0.005995488647631462,0.0,-13754.347672444219,False,-0.04449221202131037,1.2941162065043565
2021-08-20,2293225.8779958584,2309239.976367362,0.05216498970782514,0.0,-13275.253990379944,-13275.253990379944,-0.005788899435402202,0.0,-13275.253990379944,False,-0.000388092157656561,1.2932258779958592
2021-08-23,2296806.1690544635,2309239.976367362,0.05068518553984337,0.0,-12433.807312898267,-12433.807312898267,-0.005413520514017492,0.0,-12433.807312898267,False,0.0015612465797456565,1.2968061690544643
2021-08-24,2298424.975840028,2309239.976367362,0.050016101102510306,0.0,-10815.000527334118,-10815.000527334118,-0.004705396365344252,0.0,-10815.000527334118,False,0.0007048077488536197,1.2984249758400286
