date,ticker,trade_type,position_type,quantity,price,value,strike,expiration,option_type,strategy,exit_reason
2021-03-22,ABBV,close,option,-1,2.1559245795629636,-215.59245795629636,89,2021-04-19,put,dispersion,stop_loss
2021-03-22,CVX,close,option,-1,2.89637583943167,-289.637583943167,88,2021-04-19,call,dispersion,stop_loss
2021-03-22,ORCL,close,option,-1,2.8258663189151463,-282.5866318915146,63,2021-04-19,call,dispersion,stop_loss
2021-03-22,ORCL,close,option,-1,3.1690144929083814,-316.9014492908382,63,2021-04-19,put,dispersion,stop_loss
2021-03-22,MRK,close,option,-1,1.6862891215975182,-168.62891215975182,65,2021-04-19,call,dispersion,stop_loss
2021-03-22,IBM,close,option,-1,2.392596179453335,-239.2596179453335,104,2021-04-19,put,dispersion,stop_loss
2021-03-22,LIN,close,option,-1,9.021091614836507,-902.1091614836507,254,2021-04-19,call,dispersion,stop_loss
2021-03-22,LIN,close,option,-1,6.668953741657404,-666.8953741657403,254,2021-04-19,put,dispersion,stop_loss
2021-03-22,GE,close,option,-1,3.807557916580592,-380.7557916580592,65,2021-04-19,call,dispersion,stop_loss
2021-03-22,GE,close,option,-1,4.443809231138129,-444.3809231138129,65,2021-04-19,put,dispersion,stop_loss
2021-03-22,MCD,close,option,-1,4.394692327876044,-439.46923278760437,204,2021-04-19,put,dispersion,stop_loss
2021-03-22,TMO,close,option,-1,12.18954682649678,-1218.954682649678,441,2021-04-19,put,dispersion,stop_loss
2021-03-22,T,close,option,-4,0.3714875705660887,-148.5950282264355,17,2021-04-19,put,dispersion,stop_loss
2021-03-22,VZ,close,option,-1,1.0291088779731403,-102.91088779731403,44,2021-04-19,put,dispersion,stop_loss
2021-03-22,DIS,close,option,-1,9.308356341225377,-930.8356341225376,190,2021-04-19,call,dispersion,stop_loss
2021-03-22,DIS,close,option,-1,8.510526978775161,-851.052697877516,190,2021-04-19,put,dispersion,stop_loss
2021-03-22,PLTR,close,option,-1,3.062211232162447,-306.2211232162447,24,2021-04-19,call,dispersion,stop_loss
2021-03-22,PLTR,close,option,-1,2.805418233509984,-280.5418233509984,24,2021-04-19,put,dispersion,stop_loss
2021-03-22,ADBE,close,option,-1,12.767463709347936,-1276.7463709347935,439,2021-04-19,put,dispersion,stop_loss
2021-03-22,RTX,close,option,-1,2.2882200888982602,-228.822008889826,71,2021-04-19,call,dispersion,stop_loss
2021-03-22,NOW,close,option,-1,22.896685479580015,-2289.6685479580015,466,2021-04-19,put,dispersion,stop_loss
2021-03-22,SPY,close,option,31,8.992804774798401,27877.694801875045,369,2021-04-19,call,dispersion,
2021-03-22,NVDA,close,option,-27,1.0941336110511122,-2954.1607498380026,13,2021-04-19,call,dispersion,
2021-03-22,MSFT,close,option,-3,10.231266559336376,-3069.3799678009127,223,2021-04-19,call,dispersion,
2021-03-22,AMZN,close,option,-2,8.021485756592128,-1604.2971513184257,151,2021-04-19,call,dispersion,
2021-03-22,META,close,option,-1,21.88563636186916,-2188.563636186916,277,2021-04-19,call,dispersion,
2021-03-22,AVGO,close,option,-2,3.3471531672925536,-669.4306334585108,42,2021-04-19,call,dispersion,
2021-03-22,TSLA,close,option,-1,28.00143087417233,-2800.143087417233,218,2021-04-19,call,dispersion,
2021-03-22,JPM,close,option,-1,7.749144215361596,-774.9144215361596,141,2021-04-19,put,dispersion,
2021-03-22,LLY,close,option,-1,9.0704697358602,-907.04697358602,176,2021-04-19,call,dispersion,
2021-03-22,V,close,option,-1,15.157604527197662,-1515.7604527197664,214,2021-04-19,put,dispersion,
2021-03-22,XOM,close,option,-1,2.997585146820395,-299.7585146820395,49,2021-04-19,put,dispersion,
2021-03-22,UNH,close,option,-1,10.835801672634204,-1083.5801672634204,342,2021-04-19,call,dispersion,
2021-03-22,MA,close,option,-1,19.333588537283987,-1933.3588537283986,359,2021-04-19,put,dispersion,
2021-03-22,COST,close,option,-1,15.603891433119884,-1560.3891433119884,307,2021-04-19,call,dispersion,
2021-03-22,NFLX,close,option,-1,32.363914455751114,-3236.3914455751114,505,2021-04-19,call,dispersion,
2021-03-22,ABBV,close,option,-1,3.684747589951776,-368.4747589951776,89,2021-04-19,call,dispersion,
2021-03-22,WMT,close,option,-2,1.7910883495724654,-358.21766991449306,41,2021-04-19,call,dispersion,
2021-03-22,HD,close,option,-1,11.418740156766944,-1141.8740156766944,257,2021-04-19,call,dispersion,
2021-03-22,BAC,close,option,-2,1.6677881521458495,-333.5576304291699,35,2021-04-19,put,dispersion,
2021-03-22,KO,close,option,-2,1.1488044018425612,-229.76088036851223,45,2021-04-19,call,dispersion,
2021-03-22,CRM,close,option,-1,12.637304207296395,-1263.7304207296395,208,2021-04-19,call,dispersion,
2021-03-22,CVX,close,option,-1,3.7477022322714078,-374.7702232271408,88,2021-04-19,put,dispersion,
2021-03-22,CSCO,close,option,-1,2.1186070845840206,-211.86070845840206,43,2021-04-19,call,dispersion,
2021-03-22,WFC,close,option,-1,2.5796904950665898,-257.96904950665896,37,2021-04-19,put,dispersion,
2021-03-22,ABT,close,option,-1,4.785019904748367,-478.5019904748367,110,2021-04-19,call,dispersion,
2021-03-22,MCD,close,option,-1,6.253337090408735,-625.3337090408735,204,2021-04-19,call,dispersion,
2021-03-22,PEP,close,option,-1,6.060141119948881,-606.014111994888,118,2021-04-19,call,dispersion,
2021-03-22,ACN,close,option,-1,8.162451824934351,-816.2451824934351,253,2021-04-19,put,dispersion,
2021-03-22,TMO,close,option,-1,22.06057708290882,-2206.057708290882,441,2021-04-19,call,dispersion,
2021-03-22,VZ,close,option,-1,1.6152369108012685,-161.52369108012687,44,2021-04-19,call,dispersion,
2021-03-22,ISRG,close,option,-1,12.375602585734413,-1237.5602585734414,233,2021-04-19,call,dispersion,
2021-03-22,ADBE,close,option,-1,26.850485198365448,-2685.048519836545,439,2021-04-19,call,dispersion,
2021-03-22,NOW,close,option,-1,34.261090098932755,-3426.1090098932755,466,2021-04-19,call,dispersion,
2021-03-22,GS,close,option,-1,14.536602474415815,-1453.6602474415815,315,2021-04-19,put,dispersion,
2021-03-22,AMGN,close,option,-1,8.275434407706257,-827.5434407706257,215,2021-04-19,call,dispersion,
2021-04-28,SPY,open,option,32,8.272537852604245,26472.121128333583,394,2021-05-28,call,reverse_dispersion,
2021-04-28,SPY,open,option,36,7.311922098178513,26322.919553442647,394,2021-05-28,put,reverse_dispersion,
2021-04-28,AAPL,open,option,-5,5.3491939064508855,-2674.5969532254426,131,2021-05-28,call,reverse_dispersion,
2021-04-28,AAPL,open,option,-5,5.460627458655857,-2730.3137293279283,131,2021-05-28,put,reverse_dispersion,
2021-04-28,NVDA,open,option,-23,1.2081568903476896,-2778.7608477996864,15,2021-05-28,call,reverse_dispersion,
2021-04-28,NVDA,open,option,-30,0.9415838814867667,-2824.7516444603,15,2021-05-28,put,reverse_dispersion,
2021-04-28,MSFT,open,option,-2,10.01628887984154,-2003.257775968308,246,2021-05-28,call,reverse_dispersion,
2021-04-28,MSFT,open,option,-2,9.476754718116595,-1895.350943623319,246,2021-05-28,put,reverse_dispersion,
2021-04-28,AMZN,open,option,-2,6.712210373729221,-1342.4420747458441,173,2021-05-28,call,reverse_dispersion,
2021-04-28,AMZN,open,option,-2,6.503057372217,-1300.6114744434,173,2021-05-28,put,reverse_dispersion,
2021-04-28,META,open,option,-1,14.4463190126624,-1444.63190126624,306,2021-05-28,call,reverse_dispersion,
2021-04-28,META,open,option,-1,14.284294695376786,-1428.4294695376786,306,2021-05-28,put,reverse_dispersion,
2021-04-28,GOOGL,open,option,-1,4.843165012932573,-484.3165012932573,117,2021-05-28,call,reverse_dispersion,
2021-04-28,GOOGL,open,option,-2,4.260231908563277,-852.0463817126554,117,2021-05-28,put,reverse_dispersion,
2021-04-28,AVGO,open,option,-3,2.2852295828014952,-685.5688748404485,42,2021-05-28,call,reverse_dispersion,
2021-04-28,AVGO,open,option,-3,2.333886650910916,-700.1659952732748,42,2021-05-28,put,reverse_dispersion,
2021-04-28,GOOG,open,option,-1,4.8502208609110085,-485.02208609110085,118,2021-05-28,call,reverse_dispersion,
2021-04-28,GOOG,open,option,-1,4.221867805463027,-422.18678054630277,118,2021-05-28,put,reverse_dispersion,
2021-04-28,TSLA,open,option,-1,22.298928454397767,-2229.892845439777,231,2021-05-28,call,reverse_dispersion,
2021-04-28,TSLA,open,option,-1,21.452854813741254,-2145.2854813741255,231,2021-05-28,put,reverse_dispersion,
2021-04-28,JPM,open,option,-1,4.959441850680022,-495.94418506800224,137,2021-05-28,call,reverse_dispersion,
2021-04-28,JPM,open,option,-1,4.964493391722797,-496.44933917227974,137,2021-05-28,put,reverse_dispersion,
2021-04-28,LLY,open,option,-1,5.876232573999545,-587.6232573999545,173,2021-05-28,call,reverse_dispersion,
2021-04-28,LLY,open,option,-1,5.5533405588153215,-555.3340558815321,173,2021-05-28,put,reverse_dispersion,
2021-04-28,V,open,option,-1,9.682312981036645,-968.2312981036646,227,2021-05-28,call,reverse_dispersion,
2021-04-28,V,open,option,-1,9.6035362101249,-960.3536210124901,227,2021-05-28,put,reverse_dispersion,
2021-04-28,XOM,open,option,-2,2.091368711763156,-418.2737423526312,50,2021-05-28,call,reverse_dispersion,
2021-04-28,XOM,open,option,-2,2.3800292083499173,-476.00584166998345,50,2021-05-28,put,reverse_dispersion,
2021-04-28,UNH,open,option,-1,13.454823666176424,-1345.4823666176424,372,2021-05-28,call,reverse_dispersion,
2021-04-28,UNH,open,option,-1,12.44596148392597,-1244.5961483925971,372,2021-05-28,put,reverse_dispersion,
2021-04-28,MA,open,option,-1,14.858126436070506,-1485.8126436070506,387,2021-05-28,call,reverse_dispersion,
2021-04-28,MA,open,option,-1,14.02900319564364,-1402.900319564364,387,2021-05-28,put,reverse_dispersion,
2021-04-28,COST,open,option,-1,10.561974443682516,-1056.1974443682516,352,2021-05-28,call,reverse_dispersion,
2021-04-28,COST,open,option,-1,10.156854300590936,-1015.6854300590936,352,2021-05-28,put,reverse_dispersion,
2021-04-28,NFLX,open,option,-1,29.94277410083788,-2994.277410083788,507,2021-05-28,call,reverse_dispersion,
2021-04-28,NFLX,open,option,-1,29.59004506100763,-2959.004506100763,507,2021-05-28,put,reverse_dispersion,
2021-04-28,PG,open,option,-1,3.2175571050257403,-321.75571050257406,120,2021-05-28,call,reverse_dispersion,
2021-04-28,PG,open,option,-1,3.2550551264233434,-325.50551264233434,120,2021-05-28,put,reverse_dispersion,
2021-04-28,JNJ,open,option,-1,3.128705217913975,-312.8705217913975,145,2021-05-28,call,reverse_dispersion,
2021-04-28,JNJ,open,option,-1,3.310878717708235,-331.0878717708235,145,2021-05-28,put,reverse_dispersion,
2021-04-28,ABBV,open,option,-1,3.8057260302610914,-380.57260302610916,97,2021-05-28,call,reverse_dispersion,
2021-04-28,ABBV,open,option,-1,3.9454314494254916,-394.54314494254913,97,2021-05-28,put,reverse_dispersion,
2021-04-28,WMT,open,option,-2,1.291895400720339,-258.37908014406776,43,2021-05-28,call,reverse_dispersion,
2021-04-28,WMT,open,option,-4,0.8046959637956625,-321.878385518265,43,2021-05-28,put,reverse_dispersion,
2021-04-28,HD,open,option,-1,8.264969473007028,-826.4969473007028,290,2021-05-28,call,reverse_dispersion,
2021-04-28,HD,open,option,-1,7.7056409354855475,-770.5640935485548,290,2021-05-28,put,reverse_dispersion,
2021-04-28,BAC,open,option,-1,1.7222961756147726,-172.22961756147726,36,2021-05-28,call,reverse_dispersion,
2021-04-28,BAC,open,option,-1,1.4139830515165634,-141.39830515165636,36,2021-05-28,put,reverse_dispersion,
2021-04-28,KO,open,option,-3,0.8123910772097318,-243.71732316291954,48,2021-05-28,call,reverse_dispersion,
2021-04-28,KO,open,option,-2,1.2227485621361822,-244.54971242723644,48,2021-05-28,put,reverse_dispersion,
2021-04-28,CRM,open,option,-1,9.18274045371352,-918.274045371352,236,2021-05-28,call,reverse_dispersion,
2021-04-28,CRM,open,option,-1,9.230843913130542,-923.0843913130542,236,2021-05-28,put,reverse_dispersion,
